orient|pix_per_cell|cell_per_block|c|color_space|hist_bins|spatial_feat|num_features|accuracy
8|16|2|0.0001|YCrCb|16|True|1680|0.9844036697247708
8|16|2|0.0005|YCrCb|16|True|1680|0.9894495412844037
8|16|2|0.001|YCrCb|16|True|1680|0.9876146788990826
8|16|2|0.005|YCrCb|16|True|1680|0.9880733944954128
8|16|2|0.0001|HLS|16|True|1680|0.9715596330275228
8|16|2|0.0005|HLS|16|True|1680|0.9688073394495412
8|16|2|0.001|HLS|16|True|1680|0.9692660550458716
8|16|2|0.005|HLS|16|True|1680|0.9724770642201837
8|16|2|0.0001|HSV|16|True|1680|0.9720183486238532
8|16|2|0.0005|HSV|16|True|1680|0.9743119266055046
8|16|2|0.001|HSV|16|True|1680|0.9761467889908256
8|16|2|0.005|HSV|16|True|1680|0.976605504587156
8|16|2|0.0001|YUV|16|True|1680|0.9844036697247708
8|16|2|0.0005|YUV|16|True|1680|0.9885321100917432
8|16|2|0.001|YUV|16|True|1680|0.9899082568807339
8|16|2|0.005|YUV|16|True|1680|0.9922018348623852
8|16|2|0.0001|BGR|16|True|1680|0.9678899082568808
8|16|2|0.0005|BGR|16|True|1680|0.9761467889908256
8|16|2|0.001|BGR|16|True|1680|0.976605504587156
8|16|2|0.005|BGR|16|True|1680|0.9770642201834864
8|16|4|0.0001|YCrCb|16|True|1200|0.979816513761468
8|16|4|0.0005|YCrCb|16|True|1200|0.9871559633027523
8|16|4|0.001|YCrCb|16|True|1200|0.9885321100917432
8|16|4|0.005|YCrCb|16|True|1200|0.9862385321100916
8|16|4|0.0001|HLS|16|True|1200|0.9733944954128442
8|16|4|0.0005|HLS|16|True|1200|0.9747706422018348
8|16|4|0.001|HLS|16|True|1200|0.9738532110091744
8|16|4|0.005|HLS|16|True|1200|0.9752293577981652
8|16|4|0.0001|HSV|16|True|1200|0.9756880733944954
8|16|4|0.0005|HSV|16|True|1200|0.9784403669724768
8|16|4|0.001|HSV|16|True|1200|0.9807339449541284
8|16|4|0.005|HSV|16|True|1200|0.9752293577981652
8|16|4|0.0001|YUV|16|True|1200|0.9784403669724768
8|16|4|0.0005|YUV|16|True|1200|0.9839449541284404
8|16|4|0.001|YUV|16|True|1200|0.9825688073394496
8|16|4|0.005|YUV|16|True|1200|0.9844036697247708
8|16|4|0.0001|BGR|16|True|1200|0.9642201834862384
8|16|4|0.0005|BGR|16|True|1200|0.9775229357798164
8|16|4|0.001|BGR|16|True|1200|0.9784403669724768
8|16|4|0.005|BGR|16|True|1200|0.9775229357798164
8|8|2|0.0001|YCrCb|16|True|5520|0.9876146788990826
